Lat.      Lon.      Sta.     Network
-90.8552  40.7077    N41A    N4 
-90.8812  34.518    X43A    TA 
-90.9285  33.9121    Y43A    TA 
-91.0619  39.675    P41A    TA 
-91.0925  37.03    T42B    N4 
-91.0927  37.0301    T42A    TA 
-91.2317  38.9539    Q41A    TA 
-91.2383  36.3514    U42A    TA 
-91.2441  33.21    Z43A    TA 
-91.3795  38.2976    R41A    TA 
-91.39  35.806    V42A    TA 
-91.4036  32.7032    143A    TA 
-91.4036  32.7032    143B    N4 
-91.5224  35.2732    W42A    TA 
-91.6262  34.5532    X42A    TA 
-91.7458  37.5877    S41A    TA 
-91.7636  37.0436    T41A    TA 
-91.7871  33.8364    Y42A    TA 
-91.8578  35.4858    N07A    ZL 
-91.874  40.1212    O40A    TA 
-91.9203  36.344    U41A    TA 
-91.9457  32.5488    142A    TA 
-91.9474  33.2739    Z42A    TA 
-92.0483  39.5298    P40B    N4 
-92.0483  39.5299    P40A    TA 
-92.0748  38.9946    Q40A    TA 
-92.1521  32.0617    242A    TA 
-92.1554  35.7851    V41A    TA 
-92.2478  35.1736    W41A    TA 
-92.2479  35.1736    W41B    TA 
-92.2684  38.2909    R40A    TA 
-92.2684  38.2909    R40B    N4 
-92.2687  37.154    MGMO    NM 
-92.3115  35.3798    X102    7F 
-92.3138  35.3799    X401    7F 
-92.3249  31.3747    342B    N4 
-92.3429  34.7751    UALR    NM 
-92.3623  35.2926    X201    7F 
-92.3632  35.178    X103    7F 
-92.4002  35.2422    X301    7F 
-92.5014  37.5988    S40A    TA 
-92.5137  34.4949    X41A    TA 
-92.5193  37.1504    T40A    TA 
-92.5438  40.2544    O39A    TA 
-92.6113  33.8807    Y41A    TA 
-92.7541  39.4876    P39B    TA 
-92.803  33.2577    Z41A    TA 
-92.8232  35.8044    V40A    TA 
-92.8342  34.4873    X40A    TA 
-92.8535  36.3563    U40A    TA 
-92.9049  32.6046    141A    TA 
-92.9188  32.0227    241A    TA 
-92.9759  39.0455    Q39A    TA 
-93.0383  38.3138    R39A    TA 
-93.0693  35.1923    W40A    TA 
-93.1681  31.3334    341A    TA 
-93.2153  41.9069    SCIA    US 
-93.235  40.7931    N38A    TA 
-93.235  40.7931    N38B    N4 
-93.2798  34.0124    Y40A    TA 
-93.3226  37.6909    S39B    N4 
-93.3226  37.691    S39A    TA 
-93.3774  37.0241    T39A    TA 
-93.3995  33.2584    Z40A    TA 
-93.4731  40.1215    O38A    TA 
-93.4805  36.3823    U39A    TA 
-93.5321  39.6248    P38A    TA 
-93.5321  39.6248    P38B    N4 
-93.574  32.6408    140A    TA 
-93.5765  34.5454    MIAR    US 
-93.6182  38.9609    Q38A    TA 
-93.645  35.8389    V39A    TA 
-93.7626  32.0387    240A    TA 
-93.784  35.196    W39A    TA 
-93.8896  31.4167    340A    TA 
-93.9056  38.1868    R38A    TA 
-93.9078  37.6304    S38A    TA 
-93.9587  30.7456    440A    TA 
-94.0575  41.4028    M37A    TA 
-94.0936  33.938    Y39A    TA 
-94.1138  34.5105    X39A    TA 
-94.1461  40.1664    O37A    TA 
-94.1822  33.2418    Z39A    TA 
-94.2095  40.7582    N37A    TA 
-94.293  37.0354    T38A    TA 
-94.3491  39.5882    P37A    TA 
-94.3857  36.4394    U38A    TA 
-94.3857  36.4394    U38B    N4 
-94.3927  32.6795    139A    TA 
-94.4077  35.8626    V38A    TA 
-94.4522  38.8763    Q37A    TA 
-94.4707  32.0179    239A    TA 
-94.5184  35.0704    W38A    TA 
-94.556  31.3331    339A    TA 
-94.661  31.7598    NATX    US 
-94.7311  33.9278    Y38A    TA 
-94.766  30.7937    439A    TA 
-94.8021  41.4537    M36A    TA 
-94.8279  37.7597    S37A    TA 
-94.8288  34.6692    X38A    TA 
-94.8294  38.3133    R37A    TA 
-94.9176  37.123    T37A    TA 
-94.9604  40.8156    N36A    TA 
-94.9645  40.1315    O36A    TA 
-94.9851  33.2599    Z38A    TA 
-94.9852  33.2599    Z38B    N4 
-95.0268  36.1676    RLOK    OK 
-95.0887  32.6604    138A    TA 
-95.1161  36.406    U37A    TA 
-95.1203  32.0034    238A    TA 
-95.141  35.883    V37A    TA 
-95.206  39.6204    P36A    TA 
-95.3106  31.3567    338A    TA 
-95.3713  34.5892    X37A    OK 
-95.3713  34.5892    X37A    TA 
-95.4269  35.138    W37A    TA 
-95.4316  35.139    W37B    TA 
-95.4609  38.9612    Q36A    TA 
-95.4741  30.75    438A    TA 
-95.49  30.2219    538A    TA 
-95.504  38.3237    R36A    TA 
-95.5923  37.724    S36A    TA 
-95.621  33.9789    Y37A    TA 
-95.6229  33.1981    Z37A    TA 
-95.6424  40.8612    N35B    N4 
-95.6425  40.8612    N35A    TA 
-95.6945  41.4665    M35A    TA 
-95.7325  36.3927    U36A    TA 
-95.7559  32.5973    137A    TA 
-95.7919  35.9104    TUL1    TA 
-95.8084  32.0015    237A    TA 
-95.8084  32.0015    237B    N4 
-95.8789  37.0605    T36A    TA 
-95.8854  31.3159    337A    TA 
-95.9097  40.2665    O35A    TA 
-95.9425  35.7863    V36A    TA 
-96.0188  39.5286    P35A    TA 
-96.0368  38.8586    Q35A    TA 
-96.1386  30.8292    437A    TA 
-96.1988  38.3231    R35A    TA 
-96.2264  35.1393    W36A    TA 
-96.2848  33.8996    Y36A    TA 
-96.3155  30.0799    537A    TA 
-96.319  37.6821    S35A    TA 
-96.352  34.5704    X36A    TA 
-96.3762  41.9666    L34A    TA 
-96.3762  41.9666    L34B    N4 
-96.4344  33.2702    Z36A    TA 
-96.4759  36.0365   STN06    NX 
-96.4915  36.2589   STN12    NX 
-96.4983  35.8427    DEOK    OK 
-96.5005  40.8378    N34A    TA 
-96.5119  36.9162    T35B    N4 
-96.5121  36.9161    T35A    TA 
-96.5297  32.4746    136A    TA 
-96.531  31.9997    236A    TA 
-96.583  41.5025    M34A    TA 
-96.6094  39.1009    KSU1    US 
-96.6446  35.847   STN05    NX 
-96.6474  36.4181   STN18    NX 
-96.6936  40.1831    O34A    TA 
-96.708  36.1714    QUOK    OK 
-96.7213  35.657   STN33    NX 
-96.7316  36.1593   STN11    NX 
-96.7318  36.3709    U35A    TA 
-96.7843  32.8464     DAL    SS 
-96.7904  35.4418   STN35    NX 
-96.796  30.7702    436A    TA 
-96.8268  39.5471    P34A    TA 
-96.8378  35.7626    V35A    TA 
-96.8443  31.387    336A    TA 
-96.8745  35.1527    W35A    OK 
-96.8745  35.1527    W35A    TA 
-96.9078  36.4004   STN17    NX 
-96.9224  35.9088   STN04    NX 
-96.9374  36.1463   STN10    NX 
-96.9408  38.9214    Q34A    TA 
-96.9731  34.3995    X35A    TA 
-97.0374  33.9059    Y35A    TA 
-97.0613  35.5611    CHOK    OK 
-97.0652  30.0756    536A    TA 
-97.0848  34.013    LOV3    OK 
-97.1104  35.4419   STN34    NX 
-97.1111  37.7009    S34A    TA 
-97.1269  36.3487   STN16    NX 
-97.1552  35.6808   STN32    NX 
-97.18  33.9924    LOOK    OK 
-97.1856  35.9261   STN03    NX 
-97.1883  37.0222    T34A    TA 
-97.195  41.5726    M33A    TA 
-97.1971  36.6549   STN23    NX 
-97.2081  36.926   STN26    NX 
-97.2122  36.7627    KAY1    OK 
-97.247  38.3008    R34A    TA 
-97.253  33.3308    Z35A    TA 
-97.253  33.3309    Z35B    N4 
-97.2673  36.1758   STN09    NX 
-97.2682  33.9992    LOV7    OK 
-97.3746  36.3495   STN15    NX 
-97.4099  32.5573    135A    TA 
-97.4113  36.5654   STN22    NX 
-97.4271  31.2819    335A    TA 
-97.4433  35.7579   STN31    NX 
-97.4506  40.7384    N33A    TA 
-97.4511  40.7371    N33B    N4 
-97.4514  35.4153   OKCFA    OK 
-97.4561  31.9913    WHTX    TA 
-97.4919  36.1794   STN08    NX 
-97.5066  35.9506   STN02    NX 
-97.5176  35.8345    V34A    TA 
-97.5354  36.4365    U34A    TA 
-97.5612  36.7523   STN21    NX 
-97.5711  30.029    535A    TA 
-97.5845  40.0755    O33A    TA 
-97.585  30.7827    435B    TA 
-97.6093  35.6567    BCOK    OK 
-97.6152  32.9494    AZE2    ZW 
-97.6259  36.4698   STN14    NX 
-97.655  35.8328   STN01    NX 
-97.6561  35.3568    CCOK    OK 
-97.6592  35.3418    MOOR    OK 
-97.66  32.7795    AZWP    ZW 
-97.6946  39.4363    P33A    TA 
-97.7286  32.8531    AZFC    ZW 
-97.7432  36.5215   STN20    NX 
